code,name,description,refreshed_at,from_date,to_date
HEI_X,Heidelbergcement (HEI_X),Stock Prices for Heidelbergcement (HEI) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006047004,2019-04-12 22:53:25,2000-01-18,2019-04-12
HEN3_X,Henkel  & Co. Kgaa Vz (HEN3_X),Stock Prices for Henkel  & Co. Kgaa Vz (HEN3) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006048432,2019-04-12 22:53:20,2000-01-18,2019-04-12
HHFA_X,HHLA AG (Hamburger Hafen und Logistik) (HHFA_X),Stock Prices for HHLA AG (Hamburger Hafen und Logistik) (HHFA) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0S8488,2019-04-12 22:53:20,2007-11-28,2019-04-12
HNR1_X,Hannover Rück Se (HNR1_X),Stock Prices for Hannover Rück Se (HNR1) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0008402215,2019-04-12 22:53:20,2000-10-25,2019-04-12
HOT_X,Hochtief (HOT_X),Stock Prices for Hochtief (HOT) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006070006,2019-04-12 22:53:21,2000-01-18,2019-04-12
IFX_X,Infineon Technologies (IFX_X),Stock Prices for Infineon Technologies (IFX) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006231004,2019-04-12 22:53:20,2000-03-28,2019-04-12
INH_X,Indus Holding (INH_X),Stock Prices for Indus Holding (INH) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006200108,2019-04-12 22:53:21,2000-01-11,2019-04-12
JEN_X,Jenoptik (JEN_X),Stock Prices for Jenoptik (JEN) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006229107,2019-04-12 22:53:20,2000-01-18,2019-04-12
JUN3_X,Jungheinrich (JUN3_X),Stock Prices for Jungheinrich (JUN3) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006219934,2019-04-12 22:53:20,2000-01-18,2019-04-12
KBC_X,Kontron (KBC_X),Stock Prices for Kontron (KBC) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006053952,2017-08-25 23:01:59,2000-04-06,2017-08-17
KCO_X,Klöckner & Co (KlöCo) (KCO_X),Stock Prices for Klöckner & Co (KlöCo) (KCO) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000KC01000,2019-04-12 22:53:21,2006-07-26,2019-04-12
KD8_X,Kabel Deutschland Holding (KD8_X),"Stock Prices for Kabel Deutschland Holding Ag from the Frankfurt Stock Exchange. Trading System: Xetra. Kabel Deutschland (KD), Germany's largest cable operator, offers its customers digital, high definition (HD) and analog TV, Pay TV and DVR offerings, Video on Demand, broadband Internet (up to 100 Mbit/s) and fixed-line Phone services via cable as well as mobile services in cooperation with an industry partner. The publicly listed company (MDAX, MSCI Europe, Stoxx 600 Europe) operates cable networks in 13 German federal states and supplies its services to approximately 8.5 million connected households. As per end of fiscal year 2012/13, Kabel Deutschland had approximately 3,600 employees. In the fiscal year 2012/13 (12 months ended March 31, 2013), the Company reported revenues of EUR1,830 million and an Adjusted EBITDA of EUR862 million.",2016-04-18 20:20:00,2010-03-22,2016-04-18
KGX_X,Kion Group (KGX_X),Stock Prices for Kion Group (KGX) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000KGX8881,2019-04-12 22:53:20,2013-06-28,2019-04-12
KRN_X,Krones (KRN_X),Stock Prices for Krones (KRN) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006335003,2019-04-12 22:53:21,2000-01-03,2019-04-12
KU2_X,Kuka Aktiengesellschaft (KU2_X),Stock Prices for Kuka Aktiengesellschaft (KU2) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006204407,2019-04-12 22:53:21,2000-01-18,2019-04-12
KWS_X,Kws Saat (KWS_X),Stock Prices for Kws Saat (KWS) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007074007,2019-04-12 22:53:21,2013-12-13,2019-04-12
LEG_X,Leg Immobilien (LEG_X),Stock Prices for Leg Immobilien (LEG) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000LEG1110,2019-04-12 22:53:21,2013-02-01,2019-04-12
LEO_X,Leoni (LEO_X),Stock Prices for Leoni (LEO) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005408884,2019-04-12 22:53:21,2001-09-17,2019-04-12
LHA_X,Deutsche Lufthansa (LHA_X),Stock Prices for Deutsche Lufthansa (LHA) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0008232125,2019-04-12 22:53:21,2000-01-19,2019-04-12
LIN_X,Linde (LIN_X),Stock Prices for Linde (LIN) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006483001,2019-04-12 22:53:21,2000-01-19,2019-04-12
LPK_X,LPKF Laser & Electronics AG (LPK_X),Stock Prices for LPKF Laser & Electronics AG (LPK) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006450000,2019-04-12 22:53:21,2000-01-03,2019-04-12
LXS_X,Lanxess (LXS_X),Stock Prices for Lanxess (LXS) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005470405,2019-04-12 22:53:21,2005-01-31,2019-04-12
MAN_X,Man Se St (MAN_X),Stock Prices for Man Se St (MAN) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005937007,2019-04-12 22:53:21,2000-01-18,2019-04-12
MEO_X,Metro  St (MEO_X),Stock Prices for Metro  St (MEO) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007257503,2019-04-12 22:53:21,2000-01-18,2019-04-12
MLP_X,Mlp (MLP_X),Stock Prices for Mlp (MLP) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006569908,2019-04-12 22:53:21,2000-01-18,2019-04-12
MOR_X,Morphosys (MOR_X),Stock Prices for Morphosys (MOR) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006632003,2019-04-12 22:53:21,2000-01-18,2019-04-12
MRK_X,Merck Kgaa (MRK_X),Stock Prices for Merck Kgaa (MRK) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006599905,2019-04-12 22:53:21,2000-01-18,2019-04-12
MTX_X,MTU Aero Engines AG (MTX_X),Stock Prices for MTU Aero Engines AG (MTX) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0D9PT0,2019-04-12 22:53:21,2005-06-06,2019-04-12
MUV2_X,Münchener Rückversicherungs-Gesellschaft AG (Munich Re) (MUV2_X),Stock Prices for Münchener Rückversicherungs-Gesellschaft AG (Munich Re) (MUV2) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0008430026,2019-04-12 22:53:21,2000-01-18,2019-04-12
NDA_X,Aurubis (NDA_X),Stock Prices for Aurubis (NDA) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006766504,2019-04-12 22:53:21,2000-01-18,2019-04-12
NDX1_X,Nordex Se (NDX1_X),Stock Prices for Nordex Se (NDX1) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0D6554,2019-04-12 22:53:21,2001-04-02,2019-04-12
NEM_X,Nemetschek (NEM_X),Stock Prices for Nemetschek (NEM) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006452907,2019-04-12 22:53:21,2005-05-02,2019-04-12
NOEJ_X,NORMA Group SE (NOEJ_X),Stock Prices for NORMA Group SE (NOEJ) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1H8BV3,2019-04-12 22:53:21,2011-04-08,2019-04-12
O1BC_X,Xing (O1BC_X),Stock Prices for Xing (O1BC) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000XNG8888,2019-04-12 22:53:21,2006-12-07,2019-04-12
O2C_X,Petro Welt AG (ex cat oil) (O2C_X),Stock Prices for Petro Welt AG (ex cat oil) (O2C) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: AT0000A00Y78,2019-04-12 22:53:21,2006-05-17,2019-04-12
O2D_X,Telefonica Deutschland AG (O2) (O2D_X),Stock Prices for Telefonica Deutschland AG (O2) (O2D) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1J5RX9,2019-04-12 22:53:21,2012-10-30,2019-04-12
OSR_X,Osram Licht (OSR_X),Stock Prices for Osram Licht (OSR) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000LED4000,2019-04-12 22:53:21,2013-07-08,2019-04-12
P1Z_X,Patrizia Immobilien (P1Z_X),Stock Prices for Patrizia Immobilien (P1Z) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000PAT1AG3,2019-04-12 22:53:21,2006-03-31,2019-04-12
PFV_X,Pfeiffer Vacuum Technology (PFV_X),Stock Prices for Pfeiffer Vacuum Technology (PFV) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006916604,2019-04-12 22:53:21,2000-01-18,2019-04-12
PMOX_X,Prime Office (PMOX_X),"Stock Prices for Prime Office Ag from the Frankfurt Stock Exchange. Trading System: Xetra. Prime Office AG is a leading office property platform with a focus on German metropolitan regions and conurbations. At present, the geographically diversified commercial real estate portfolio contains 58 properties with a total rentable space of about 970,000 square metres and an attractive and broad tenant base. According to a valuation performed by CB Richard Ellis as at 30 September 2013, the properties had a total market value of about EUR 1.9 billion. The property sales in the fourth quarter of 2013 are already reflected in this number.",2016-12-14 22:32:23,2011-07-28,2016-12-14
PSAN_X,PSI Software AG (PSAN_X),Stock Prices for PSI Software AG (PSAN) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0Z1JH9,2019-04-12 22:53:21,2000-03-23,2019-04-12
PSM_X,Prosiebensat.1 Media (PSM_X),Stock Prices for Prosiebensat.1 Media (PSM) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000PSM7770,2019-04-12 22:53:21,2000-10-13,2019-04-12
PUM_X,Puma Se (PUM_X),Stock Prices for Puma Se (PUM) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006969603,2019-04-12 22:53:21,2000-01-19,2019-04-12
QIA_X,Qiagen N.v. (QIA_X),Stock Prices for Qiagen N.v. (QIA) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: NL0000240000,2019-04-12 22:53:21,2000-01-03,2019-04-12
QSC_X,Qsc (QSC_X),Stock Prices for Qsc (QSC) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005137004,2019-04-12 22:53:21,2000-04-19,2019-04-12
RAA_X,Rational (RAA_X),Stock Prices for Rational (RAA) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007010803,2019-04-12 22:53:21,2000-06-02,2019-04-12
RHK_X,RhÖn-klinikum (RHK_X),Stock Prices for RhÖn-klinikum (RHK) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007042301,2019-04-12 22:53:21,2000-01-18,2019-04-12
RHM_X,Rheinmetall (RHM_X),Stock Prices for Rheinmetall (RHM) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007030009,2019-04-12 22:53:21,2000-01-14,2019-04-12
RRTL_X,RTL S.A. (RRTL_X),Stock Prices for RTL S.A. (RRTL) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: LU0061462528,2019-04-12 22:53:21,2000-08-09,2019-04-12
RWE_X,Rwe  St (RWE_X),Stock Prices for Rwe  St (RWE) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007037129,2019-04-12 22:53:21,2000-01-19,2019-04-12
S92_X,SMA Solar AG (S92_X),Stock Prices for SMA Solar AG (S92) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0DJ6J9,2019-04-12 22:53:21,2008-06-27,2019-04-12
SAP_X,Sap (SAP_X),Stock Prices for Sap (SAP) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007164600,2019-04-12 22:53:21,2000-01-18,2019-04-12
SAX_X,Ströer SE & Co. KGaA (SAX_X),Stock Prices for Ströer SE & Co. KGaA (SAX) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007493991,2019-04-12 22:53:21,2010-08-06,2019-04-12
SAZ_X,Stada Arzneimittel Ag (SAZ_X),"Stock Prices for Stada Arzneimittel Ag from the Frankfurt Stock Exchange. Trading System: Xetra. STADA Arzneimittel AG is a publicly-listed company with headquarters in Bad Vilbel, Germany. STADA consistently focuses on a multi-pillar strategy of generics and branded products (OTC) with an increasingly international market orientation. The Group traditionally has a strong presence in Europe and is the only independent generics producer in Germany. Worldwide, STADA is one of the five leading companies in the generics industry and is represented in more than 30 countries with approximately 50 subsidiaries. Branded products such as Mobilat, Grippostad and Ladival are among the highest selling in their product category in Germany. In financial year 2012, STADA achieved Group sales of Euro 1,837.5 million, adjusted earnings before interest, taxes, depreciation and amortization (EBITDA) of Euro 367.5 million and adjusted net income of Euro 147.9 million. As of December 31, 2012, STADA employed 7,761 people worldwide.",2015-11-28 01:08:53,2000-01-18,2015-11-27
SBS_X,Stratec Biomedical (SBS_X),Stock Prices for Stratec Biomedical (SBS) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007289001,2018-11-29 22:29:38,2000-06-27,2018-11-29
SDF_X,K+s Aktiengesellschaft (SDF_X),Stock Prices for K+s Aktiengesellschaft (SDF) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000KSAG888,2019-04-12 22:53:21,2000-01-18,2019-04-12
SFQ_X,SAF-Holland SA (SFQ_X),Stock Prices for SAF-Holland SA (SFQ) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: LU0307018795,2019-04-12 22:53:21,2007-07-26,2019-04-12
SGL_X,Sgl Carbon Se (SGL_X),Stock Prices for Sgl Carbon Se (SGL) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007235301,2019-04-12 22:53:21,2000-01-18,2019-04-12
SIE_X,Siemens (SIE_X),Stock Prices for Siemens (SIE) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007236101,2019-04-12 22:53:21,2000-01-18,2019-04-12
SIX2_X,Sixt Se St (SIX2_X),Stock Prices for Sixt Se St (SIX2) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007231326,2019-04-12 22:53:21,2000-01-18,2019-04-12
SKB_X,Koenig & Bauer (SKB_X),Stock Prices for Koenig & Bauer (SKB) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007193500,2019-04-12 22:53:21,2000-01-03,2019-04-12
SKYD_X,Sky Deutschland (SKYD_X),Stock Prices for Sky Deutschland (SKYD) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000SKYD000,2018-11-09 22:29:27,2005-03-23,2018-11-06
SLT_X,Schaltbau Holding (SLT_X),Stock Prices for Schaltbau Holding (SLT) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007170300,2018-10-24 22:28:24,2000-01-03,2018-10-18
SOW_X,Software (SOW_X),Stock Prices for Software (SOW) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0003304002,2019-04-12 22:53:21,2000-01-19,2019-04-12
SPR_X,Axel Springer Se (SPR_X),Stock Prices for Axel Springer Se (SPR) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005501357,2019-04-12 22:53:21,2000-11-06,2019-04-12
SRT3_X,Sartorius  Vz (SRT3_X),Stock Prices for Sartorius  Vz (SRT3) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007165631,2019-04-12 22:53:21,2000-03-17,2019-04-12
SW1_X,Shw (SW1_X),Stock Prices for Shw (SW1) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1JBPV9,2019-04-12 22:53:21,2011-07-07,2019-04-12
SY1_X,Symrise (SY1_X),Stock Prices for Symrise (SY1) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000SYM9999,2019-04-12 22:53:21,2006-12-11,2019-04-12
SZG_X,Salzgitter (SZG_X),Stock Prices for Salzgitter (SZG) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006202005,2019-04-12 22:53:21,2000-01-17,2019-04-12
SZU_X,Südzucker (SZU_X),Stock Prices for Südzucker (SZU) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007297004,2019-04-12 22:53:21,2000-01-18,2019-04-12
TEG_X,Tag Immobilien (TEG_X),Stock Prices for Tag Immobilien (TEG) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0008303504,2019-04-12 22:53:21,2000-10-06,2019-04-12
TIM_X,ZEAL Network SE (TIM_X),Stock Prices for ZEAL Network SE (TIM) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: GB00BHD66J44,2019-04-12 22:53:21,2005-10-12,2019-04-12
TKA_X,Thyssenkrupp (TKA_X),Stock Prices for Thyssenkrupp (TKA) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007500001,2019-04-12 22:53:21,2000-01-18,2019-04-12
TLX_X,Talanx Aktiengesellschaft (TLX_X),Stock Prices for Talanx Aktiengesellschaft (TLX) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000TLX1005,2019-04-12 22:53:21,2012-10-02,2019-04-12
TTI_X,Tom Tailor Holding (TTI_X),Stock Prices for Tom Tailor Holding (TTI) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0STST2,2019-04-12 22:53:21,2010-03-26,2019-04-12
TTK_X,Takkt (TTK_X),Stock Prices for Takkt (TTK) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007446007,2019-04-12 22:53:21,2000-01-18,2019-04-12
TUI1_X,Tui (TUI1_X),Stock Prices for Tui (TUI1) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000TUAG000,2019-04-12 22:53:21,2000-01-18,2019-04-12
UTDI_X,United Internet (UTDI_X),Stock Prices for United Internet (UTDI) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005089031,2019-04-12 22:53:21,2000-08-28,2019-04-12
VIB3_X,Villeroy & Boch AG (VIB3_X),Stock Prices for Villeroy & Boch AG (VIB3) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007657231,2019-04-12 22:53:21,2000-05-19,2019-04-12
VNA_X,Vonovia SE (ex Deutsche Annington) (VNA_X),Stock Prices for Vonovia SE (ex Deutsche Annington) (VNA) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1ML7J1,2019-04-12 22:53:21,2013-07-11,2019-04-12
VOS_X,Vossloh (VOS_X),Stock Prices for Vossloh (VOS) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007667107,2019-04-12 22:53:21,2000-03-28,2019-04-12
VOW3_X,Volkswagen  Vz (VOW3_X),Stock Prices for Volkswagen  Vz (VOW3) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007664039,2019-04-12 22:53:21,2000-01-18,2019-04-12
VT9_X,Vtg Aktiengesellschaft (VT9_X),Stock Prices for Vtg Aktiengesellschaft (VT9) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000VTG9999,2019-04-12 22:53:21,2007-06-28,2019-04-08
WAC_X,Wacker Neuson Se (WAC_X),Stock Prices for Wacker Neuson Se (WAC) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000WACK012,2019-04-12 22:53:21,2007-05-15,2019-04-12
WCH_X,Wacker Chemie (WCH_X),Stock Prices for Wacker Chemie (WCH) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000WCH8881,2019-04-12 22:53:21,2006-04-10,2019-04-12
WDI_X,Wirecard (WDI_X),Stock Prices for Wirecard (WDI) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007472060,2019-04-12 22:53:21,2001-08-22,2019-04-12
WIN_X,Diebold Nixdorf AG (WIN_X),Stock Prices for Diebold Nixdorf AG (WIN) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0CAYB2,2019-04-12 22:53:21,2004-06-16,2019-04-12
ZIL2_X,Elringklinger (ZIL2_X),Stock Prices for Elringklinger (ZIL2) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0007856023,2019-04-12 22:53:21,2001-09-24,2019-04-12
ZO1_X,Zooplus (ZO1_X),Stock Prices for Zooplus (ZO1) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005111702,2019-04-12 22:53:21,2008-05-09,2019-04-12
